ensembl	symbol	DM_48h_1	DM_48h_2	DM_48h_3	GiB_48h_1	GiB_48h_2	GiB_48h_3
ENSG00000101134	DOK5	52.23652276	67.99789944	58.20507589	64.82856612	67.83141605	48.92872489
ENSG00000101138	CSTF1	728.9221619	582.423016	500.9503247	617.7353425	621.7969306	749.4927237
ENSG00000101144	BMP7	10.1737595	15.01934048	10.39467661	20.34329771	16.68575967	5.840705428
ENSG00000101146	RAE1	1583.68984	964.6779617	1017.738816	1083.375235	1082.238139	1967.874795
ENSG00000101150	TPD52L2	5813.994506	5581.082197	5413.193167	5652.905625	5735.307169	6061.630429
ENSG00000101152	DNAJC5	3440.388078	4312.495407	4324.774732	4399.214734	4422.141236	3972.498272
ENSG00000101158	NELFCD	1698.263625	1682.874922	1765.674008	1811.014979	1846.935864	1691.849093
ENSG00000101160	CTSZ	4877.396657	5104.176206	4912.927388	4658.351696	4656.652905	4623.32014
ENSG00000101161	PRPF6	2490.879111	2675.528218	2677.867629	2615.261075	2803.681498	2734.682453
ENSG00000101162	TUBB1	3.922852064	1.750492042	0.911004856	0.955590459	0	2.047769096
ENSG00000101166	PRELID3B	2189.592239	2031.424433	1979.953207	2060.366774	2147.249691	2331.062598
ENSG00000101180	HRH3	0	0	0	0	1.007314605	0
ENSG00000101181	MTG2	476.1384284	478.2591434	384.212175	362.3961632	508.9511694	449.1015244
ENSG00000101182	PSMA7	6141.538033	4361.017689	4180.326443	4182.626266	3971.607936	5375.221136
ENSG00000101187	SLCO4A1	98.28414614	134.736738	118.7653693	161.2905567	166.1987997	112.3852133
ENSG00000101188	NTSR1	43.33650802	93.2431154	81.41970753	68.43366727	92.33232195	56.94500031
ENSG00000101189	MRGBP	581.0414063	683.5338768	674.736277	660.0287341	664.6693155	627.7399911
ENSG00000101190	TCFL5	365.2718654	457.4712052	388.6251314	422.6891053	422.7263358	379.2742877
ENSG00000101191	DIDO1	2905.058051	3948.130836	3819.448705	3668.311108	3549.774593	2956.113348
ENSG00000101193	GID8	2041.799623	1992.184183	2031.09485	2024.746306	2131.647549	2004.886504
ENSG00000101194	SLC17A9	629.7775745	665.5769622	607.6679168	589.3433445	636.1170024	532.1135528
ENSG00000101199	ARFGAP1	1823.980368	1367.135103	1307.6726	1323.909253	1320.33655	1526.052845
ENSG00000101203	COL20A1	0	0	0	0	0	0
ENSG00000101210	EEF1A2	224.4712303	157.6431366	264.2692075	259.3654648	275.0267174	214.4716549
