ensembl	symbol	A549-DMSO-A	A549-DMSO-B	A549-DMSO-C	A549-DMSO-D	A549-GiB-B	A549-GiB-C	A549-GiB-D
ENSG00000177733	HNRNPA0	13727	11774	14038	9915	11196	11058	8685
ENSG00000177752	YIPF7	1	0	1	0	0	0	1
ENSG00000177807	KCNJ10	2	6	2	2	1	5	0
ENSG00000177830	CHID1	2698	2394	2585	1909	2046	2026	1737
ENSG00000177839	PCDHB9	10	10	18	13	4	10	6
ENSG00000177842	ZNF620	250	198	192	144	165	191	157
ENSG00000177853	ZNF518A	1194	750	1084	743	899	962	847
ENSG00000177854	TMEM187	567	498	516	436	450	466	381
ENSG00000177868	SVBP	380	289	372	242	242	295	267
ENSG00000177873	ZNF619	212	160	195	170	181	185	174
ENSG00000177875	CCDC184	289	321	323	242	232	221	194
ENSG00000177879	AP3S1	1837	1651	1903	1418	1476	1623	1263
ENSG00000177885	GRB2	7291	6238	7881	5503	5767	6009	4819
ENSG00000177888	ZBTB41	967	877	963	608	878	809	714
ENSG00000177889	UBE2N	4574	3847	4171	3331	3507	3765	2921
ENSG00000177917	ARL6IP6	688	719	721	518	574	662	514
ENSG00000177932	ZNF354C	118	140	139	79	83	111	72
ENSG00000177943	MAMDC4	339	298	397	234	257	279	207
ENSG00000177951	BET1L	2227	1893	2323	1578	1802	1956	1486
ENSG00000177954	RPS27	14359	11966	13212	10909	11065	12277	10059
ENSG00000177963	RIC8A	4687	4136	4876	3495	3846	3894	3130
ENSG00000177971	IMP3	3495	2983	3164	2567	2684	2818	2358
ENSG00000177981	ASB8	886	763	932	692	773	709	644
ENSG00000177984	LCN15	2	0	0	0	0	0	0
ENSG00000177989	ODF3B	85	62	90	72	71	61	47
ENSG00000177990	DPY19L2	137	121	121	97	117	109	117
ENSG00000177992	SPATA31E1	2	0	0	0	1	0	0
ENSG00000177994	C2orf73	0	0	0	0	0	2	0
ENSG00000178015	GPR150	8	5	4	1	8	1	4
ENSG00000178026	LRRC75B	205	149	176	150	154	99	126
ENSG00000178028	DMAP1	679	530	642	470	545	482	385
ENSG00000178031	ADAMTSL1	2	4	11	0	2	5	5
ENSG00000178033	CALHM5	13	13	5	6	7	4	5
ENSG00000178035	IMPDH2	5334	4467	5543	3962	4266	4429	3452
ENSG00000178038	ALS2CL	195	201	191	157	150	170	139
ENSG00000178053	MLF1	387	295	365	267	267	337	246
ENSG00000178057	NDUFAF3	1413	1214	1434	1129	1204	1274	958
ENSG00000178074	C2orf69	896	834	904	657	693	766	612
ENSG00000178075	GRAMD1C	21	8	23	12	8	15	12
ENSG00000178078	STAP2	3	2	1	2	0	2	0
ENSG00000178093	TSSK6	43	49	44	0	39	52	43
ENSG00000178096	BOLA1	529	477	617	420	441	465	333
ENSG00000178104	PDE4DIP	871	814	900	572	732	688	569
ENSG00000178105	DDX10	1328	1078	1321	998	1041	1109	920
ENSG00000178115	GOLGA8Q	25	24	24	11	26	18	17
ENSG00000178125	PPP1R42	0	0	1	1	0	1	0
ENSG00000178127	NDUFV2	3788	3319	3541	2654	2933	3272	2366
ENSG00000178149	DALRD3	657	555	588	500	491	491	449
ENSG00000178150	ZNF114	265	184	214	153	173	175	186
ENSG00000178163	ZNF518B	578	519	630	389	433	475	415
ENSG00000178171	AMER3	1	0	0	0	0	0	0
ENSG00000178172	SPINK6	0	0	4	0	0	0	0
ENSG00000178175	ZNF366	2	0	3	1	1	3	2
ENSG00000178177	LCORL	487	535	613	317	469	493	362
ENSG00000178184	PARD6G	175	155	171	115	102	135	108
