ensembl	symbol	A375MA2-DMSO-A	A375MA2-DMSO-B	A375MA2-DMSO-C	A375MA2-DMSO-D	A375MA2-GiB-A	A375MA2-GiB-B	A375MA2-GiB-D
ENSG00000155085	AK9	17	46	9	25	23	14	12
ENSG00000155090	KLF10	753	1301	729	733	907	888	1179
ENSG00000155093	PTPRN2	0	1	1	0	0	0	1
ENSG00000155096	AZIN1	4394	7252	4260	4284	5906	5662	7167
ENSG00000155097	ATP6V1C1	1613	2639	1627	1542	2319	2283	2908
ENSG00000155099	PIP4P2	397	627	409	355	407	416	503
ENSG00000155100	OTUD6B	569	908	554	531	900	910	1295
ENSG00000155111	CDK19	901	1524	797	912	1119	1063	1235
ENSG00000155115	GTF3C6	760	1331	864	787	1082	1079	1478
ENSG00000155158	TTC39B	470	857	456	420	393	367	470
ENSG00000155189	AGPAT5	1010	1599	964	895	1283	1196	1428
ENSG00000155229	MMS19	3133	5120	3050	3039	4188	4013	4779
ENSG00000155252	PI4K2A	1871	3093	1986	1872	2787	2685	3551
ENSG00000155254	MARVELD1	2983	4986	2855	2894	3773	3567	3889
ENSG00000155256	ZFYVE27	1298	1998	1206	1240	1427	1296	1603
ENSG00000155265	GOLGA7B	792	1243	812	730	1073	988	1304
ENSG00000155275	TRMT44	204	399	168	182	281	263	355
ENSG00000155287	SLC25A28	293	397	305	290	351	379	560
ENSG00000155304	HSPA13	823	1388	801	776	1171	1130	1395
ENSG00000155313	USP25	433	682	472	424	417	436	513
ENSG00000155324	GRAMD2B	295	504	346	330	348	363	436
ENSG00000155329	ZCCHC10	409	628	355	362	613	623	764
ENSG00000155330	C16orf87	470	785	456	433	764	829	986
ENSG00000155363	MOV10	1306	1896	1226	1361	1256	1249	1466
ENSG00000155366	RHOC	5103	9055	6048	5765	8620	8526	11249
ENSG00000155367	PPM1J	114	181	116	110	97	94	119
ENSG00000155368	DBI	1368	2460	1634	1405	2044	1959	2467
ENSG00000155380	SLC16A1	2822	4639	2752	2584	4282	4302	5385
ENSG00000155393	HEATR3	327	386	235	324	396	311	454
ENSG00000155428	TRIM74	16	27	14	13	10	10	14
