ensembl	symbol	IPC-DMSO-A	IPC-DMSO-B	IPC-DMSO-C	IPC-DMSO-D	IPC-GiB-A	IPC-GiB-B	IPC-GiB-C
ENSG00000164924	YWHAZ	76182	101931	60703	89103	59469	63196	66602
ENSG00000164929	BAALC	556	789	508	669	381	443	462
ENSG00000164930	FZD6	1592	1989	1293	1882	1201	1279	1351
ENSG00000164932	CTHRC1	2352	3004	1667	2262	1476	1560	1787
ENSG00000164933	SLC25A32	2014	2648	1617	2060	1527	1775	1619
ENSG00000164934	DCAF13	2440	3171	1750	2513	1804	1910	2257
ENSG00000164935	DCSTAMP	0	0	3	0	0	1	0
ENSG00000164938	TP53INP1	607	777	518	761	504	525	555
ENSG00000164941	INTS8	2222	2885	2036	2688	1727	1812	1990
ENSG00000164944	VIRMA	2656	3824	2271	3254	2305	2347	2463
ENSG00000164946	FREM1	121	188	85	143	102	66	104
ENSG00000164949	GEM	635	847	561	813	583	567	580
ENSG00000164951	PDP1	2266	3382	1979	2742	1852	2160	2233
ENSG00000164953	TMEM67	567	710	439	585	454	396	440
ENSG00000164961	WASHC5	3208	4432	2618	3860	2634	2683	2846
ENSG00000164967	RPP25L	362	556	326	413	289	324	373
ENSG00000164970	FAM219A	2464	3390	1962	2894	2004	2097	2105
ENSG00000164972	C9orf24	2	3	2	1	1	4	2
ENSG00000164975	SNAPC3	446	585	443	572	368	411	414
ENSG00000164976	MYORG	199	326	186	301	171	223	212
ENSG00000164978	NUDT2	498	630	378	621	330	403	468
ENSG00000164983	TMEM65	1522	2052	1257	1910	1248	1366	1335
ENSG00000164985	PSIP1	3304	4072	2887	4034	2681	2849	2874
ENSG00000164989	CCDC171	127	184	111	153	88	125	118
ENSG00000165006	UBAP1	1499	1990	1143	1709	1107	1228	1307
ENSG00000165023	DIRAS2	16	11	12	11	14	13	15
ENSG00000165025	SYK	853	1235	735	1106	746	799	813
ENSG00000165028	NIPSNAP3B	79	93	60	96	61	66	65
ENSG00000165029	ABCA1	305	396	237	412	191	200	210
ENSG00000165030	NFIL3	337	452	329	477	310	305	309
ENSG00000165046	LETM2	41	78	47	85	45	52	61
ENSG00000165055	METTL2B	2520	3514	2027	2823	2068	2202	2310
ENSG00000165060	FXN	426	484	271	418	312	316	335
ENSG00000165071	TMEM71	1	1	0	1	0	2	1
ENSG00000165072	MAMDC2	1	2	0	1	2	0	1
ENSG00000165076	PRSS37	0	0	0	1	0	0	0
ENSG00000165084	C8orf34	12	13	5	9	6	11	9
ENSG00000165092	ALDH1A1	246	277	156	238	152	168	213
ENSG00000165097	KDM1B	1706	2366	1403	1986	1358	1533	1583
ENSG00000165102	HGSNAT	1502	1966	1198	1656	1081	1101	1205
ENSG00000165105	RASEF	3036	4340	2306	3384	2400	2579	2740
ENSG00000165113	GKAP1	49	73	39	57	37	47	46
ENSG00000165115	KIF27	77	101	70	82	66	52	76
ENSG00000165118	C9orf64	1046	1285	762	1131	758	838	865
ENSG00000165119	HNRNPK	25150	34916	19929	28519	19957	21302	23713
ENSG00000165120	SSMEM1	0	0	2	0	0	0	0
ENSG00000165124	SVEP1	0	0	1	0	0	2	0
ENSG00000165131	LLCFC1	1	0	0	0	0	0	0
ENSG00000165138	ANKS6	840	1228	686	979	654	706	752
ENSG00000165140	FBP1	0	1	2	1	2	0	0
