protein_ids,symbols,description,log2FoldChange,log2_GiB,log2_DMSO,statistic,p.value,parameter,conf.low,conf.high,method,alternative,padj
E9PJK5;Q8N612,FAM160A2,FTS and Hook-interacting protein,-0.12700696935864286,14.049903676383318,14.17691064574196,-1.0787651752616385,0.33535729935959824,4.476414571324306,-0.44061451983485195,0.18660058111756625,Welch Two Sample t-test,two.sided,0.4141422564623524
E9PJM3;Q9UK99;G3V1E0;E9PL46;B4E3U2,FBXO3,F-box only protein 3,-0.437672681416732,16.04140911936685,16.479081800783582,-10.05017117585717,2.849528102482269e-4,4.539633708002926,-0.5531206717595629,-0.32222469107390106,Welch Two Sample t-test,two.sided,0.0028736394941186573
E9PJN1;O75676;A0A0A6YYC0;E9PKU3,RPS6KA4,Ribosomal protein S6 kinase;Ribosomal protein S6 kinase alpha-4,0.10705800823946277,15.161887097842612,15.05482908960315,1.267510416545902,0.29867318186583314,2.848589574085931,-0.17000793371525916,0.3841239501941847,Welch Two Sample t-test,two.sided,0.37556161656062464
E9PK67;E9PNI7;Q53GL7;E9PPE7;F8W8G7,PARP10,Poly [ADP-ribose] polymerase 10,0.2170467882548195,17.041881190459485,16.824834402204665,2.6199211933381648,0.04913020351886882,4.789098172907431,0.0012355802928884242,0.4328579962167505,Welch Two Sample t-test,two.sided,0.08852349754430597
E9PK80;E9PM75;E9PN58;Q9NTG7,SIRT3,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",0.03238263913828732,15.33895450915065,15.306571870012363,0.35377040599177345,0.7387262686827687,4.731119976454365,-0.2069971366647592,0.2717624149413338,Welch Two Sample t-test,two.sided,0.7890266098021101
E9PK89;Q8TBN0,RAB3IL1,Guanine nucleotide exchange factor for Rab-3A,-0.11688139525858077,13.844873091734991,13.961754486993572,-1.2312212550479695,0.3386445571172829,2.092491292118886,-0.5085149082125465,0.27475211769538505,Welch Two Sample t-test,two.sided,0.41757243640026137
E9PKA8;Q6ZUT1;E9PQL5;E9PSC8,C11orf57,Uncharacterized protein C11orf57,0.5314840901557627,15.009054094693832,14.47757000453807,6.212536273049923,0.005226942898061575,3.506698797921277,0.2801822750007735,0.782785905310752,Welch Two Sample t-test,two.sided,0.016917129735014778
H7BXH2;E9PKF6;Q5H9R7;E9PQP7;H0YEN2;E9PK08;E9PNN8;E9PJD8;H0YDK9;E9PKG4;H0YEV0;H0YDW1,PPP6R3,Serine/threonine-protein phosphatase 6 regulatory subunit 3,-0.05760677276313331,19.360506001326463,19.418112774089597,-1.404076910994292,0.24156626794307778,3.5446137662155377,-0.17752975105898364,0.062316205532717016,Welch Two Sample t-test,two.sided,0.3151805108214321
E9PKG1;Q99873;E9PIX6;E9PQ98;E9PNR9;H0YDE4;E9PMW9;Q9NR22,PRMT1,Protein arginine N-methyltransferase 1,-0.07543501942974373,20.94250784210185,21.017942861531594,-1.5156550026513096,0.2247378844032207,3.073572853447982,-0.23170373689238483,0.08083369803289735,Welch Two Sample t-test,two.sided,0.29692519472252904
E9PKL9;Q13630;E9PP14;A0A0J9YX13;E9PLH9;E9PP60,TSTA3,GDP-L-fucose synthase,-0.08759945783893386,16.381199961088058,16.46879941892699,-2.9571746418375477,0.05716192136431953,3.1056133742701784,-0.18008409012679874,0.004885174448931006,Welch Two Sample t-test,two.sided,0.09933626578555528
