direction,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,y
induced,GO:0140056,organelle localization by membrane tethering,59/3596,164/14222,0.00145177597198115,0.02438983632928341,0.02225474324567804,PAFAH1B1/MKS1/OFD1/CC2D2A/PCM1/HSP90AA1/RAB10/DYNLL1/HAUS4/SNAP29/MAPRE1/RPGRIP1L/CCP110/VPS18/BLOC1S6/CEP41/B9D1/YWHAE/CEP72/VAMP8/CEP89/VAPB/TUBG1/STX11/RABEPK/DCTN3/HAUS2/EXOC6/RAB13/NPHP1/RALB/CETN2/SCLT1/HAUS1/STX5/TMEM67/PDZD8/RAB8B/PLK1/STX3/RAB8A/TCTN2/RAB3B/YWHAG/CDK1/IQCB1/CEP135/CKAP5/SCFD2/KIF24/TMEM216/TUBB4B/CLN3/FBF1/DYNC1H1/CEP290/CEP43/HAUS7/CSNK1E,59,61
induced,GO:0002223,stimulatory C-type lectin receptor signaling pathway,37/3596,93/14222,0.00144231589563086,0.02430033657968333,0.02217307832915252,CREBBP/PSMB1/PSMC4/PSMA4/PSMC5/PSMD5/PSMD8/PSMC6/PSMA3/PSMC1/PSMB5/PSMA6/PSMD10/PSMD7/PSMA2/PSMD11/NFKB1/SKP1/PSMD14/PSMF1/KRAS/PSMB7/PDPK1/PSMB6/BCL10/PSMB4/PSMC2/PSMD6/PSMC3/MUC7/RELA/MUC13/HRAS/PSMD12/NRAS/IKBKG/PSMB3,37,62
induced,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,38/3596,96/14222,0.00139981670648268,0.02365207538539705,0.0215815661008537,BAK1/FNIP2/TP73/BAX/MSH2/SIRT1/HMOX1/SNW1/E2F1/PIAS4/TMEM109/HTRA2/MSH6/TRIM32/CDKN1A/CDKN2D/CASP9/SKIL/BCL2A1/PML/EPHA2/MCL1/RPS3/RPL26/HIPK1/SHISA5/MOAP1/TRIAP1/BCL2L1/BCL2/RAD9A/PHLDA3/SFN/HIC1/AEN/RPS27L/TOPORS/TAF9,38,63
induced,GO:2001252,positive regulation of chromosome organization,63/3596,177/14222,0.00139244130954452,0.02359525907816082,0.02152972350901999,CDC27/PAF1/AKAP8L/ERCC1/DDX11/CUL3/SREBF1/EED/SART3/SIRT6/ATRX/MAPKAPK5/CDC23/SIRT1/SNW1/ACD/RNF40/AKAP8/SSBP1/PPARGC1A/PHF1/TCP1/HNRNPA2B1/LIF/TRIM28/DKC1/ZNF304/SLX1A/PPHLN1/CCT7/NUMA1/HNRNPD/NABP2/RB1/PML/PARN/ANAPC11/MTF2/GTF2H2/CCT6A/NSD3/TERF1/CCT5/NEK7/HNRNPU/CCT8/NSMCE2/CHTOP/LMNA/CCT3/CCT2/FEN1/ATF7IP/LIG4/UBE2N/AURKB/RUVBL2/NAP1L2/WDR5/PIWIL2/C6orf89/CTR9/PPP1R10,63,64
induced,GO:0001522,pseudouridine synthesis,11/3596,18/14222,0.00136683454420407,0.02322828647375712,0.02119487578889009,TSR3/GAR1/PUS3/PUS7L/DKC1/RPUSD3/TRUB1/RPUSD2/TRUB2/PUSL1/PUS1,11,65
induced,GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",29/3596,68/14222,0.00129405793303742,0.02205524825002912,0.02012452565886115,PSMB1/PSMC4/PSMA4/PSMC5/PSMD5/PSMD8/PSMC6/PSMA3/PSMC1/PSMB5/PSMA6/PSMD10/PSMD7/PSMA2/PSMD11/PSMD14/VAMP8/PSMF1/PSMB7/PSMB6/PSMB4/PSMC2/PSMD6/PSMC3/B2M/PSMD12/SEC22B/IKBKG/PSMB3,29,66
induced,GO:2001235,positive regulation of apoptotic signaling pathway,58/3596,160/14222,0.00128959538026403,0.02204308382544336,0.02011342611140079,TNFRSF12A/PLAUR/FAS/BCLAF1/BAK1/CTNNA1/CASP8/NGFR/TP73/GSK3B/BAX/SIRT1/E2F1/PIAS4/BBC3/YWHAE/HTRA2/PARK7/WDR35/ZNF205/PLAGL2/STYXL1/YWHAH/ATP5IF1/YWHAQ/NMT1/SKIL/PPP2R1B/PML/PMAIP1/SOD1/BCL10/MCL1/RPS3/FLCN/NCK1/RPL26/PEA15/ATF3/YWHAZ/MOAP1/PLEKHF1/NKX3-1/DAPK3/FADD/CRADD/YWHAG/BCL2L1/BCL2/RPS7/PPP1CA/RAD9A/DDIT3/SFN/FAF1/SIAH1/MLLT11/PPP3R1,58,67
induced,GO:0000491,small nucleolar ribonucleoprotein complex assembly,8/3596,11/14222,0.00128272511938011,0.02198957347508771,0.02006460007205909,NUFIP1/SNU13/ZNHIT6/PIH1D2/RUVBL1/RUVBL2/ZNHIT3/TAF9,8,68
induced,GO:0072321,chaperone-mediated protein transport,8/3596,11/14222,0.00128272511938011,0.02198957347508771,0.02006460007205909,TIMM13/TIMM9/HSPA8/TIMM8A/TIMM10/TIMM8B/BAG3/PEX19,8,69
induced,GO:1902108,regulation of mitochondrial membrane permeability involved in apoptotic process,26/3596,59/14222,0.00127285433274051,0.02194833864080421,0.0200269749466844,BAK1/CASP8/TP73/GSK3B/BAX/MUL1/E2F1/BBC3/YWHAE/ZNF205/YWHAH/ATP5IF1/YWHAQ/NMT1/PMAIP1/MPV17L/THEM4/YWHAZ/MOAP1/YWHAG/BCL2/SFN/BLOC1S2/HSPA1A/SLC35F6/PPP3R1,26,70
