pathway,pval,padj,log2err,ES,NES,size,leadingEdge,culture,signed_log_padj
MYC_TARGETS_V1,3.9076196717738725e-9,1.9538098358869365e-7,0.7614608014455848,0.4676738105936009,1.981117028104466,200,IFRD1;CDK2;AIMP2;PSMC4;HNRNPA3;SNRPD1;ODC1;PCBP1;PA2G4;ACP1;APEX1;NOP56;UBE2L3;ABCE1;PCNA;CNBP;EIF4A1;EIF1AX;SSBP1;CSTF2;EIF3J;PSMA6;EIF2S1;COPS5;MCM7;CCT2;G3BP1;EIF4E;TARDBP;ERH;SYNCRIP;VBP1;TRA2B;PSMD14;MRPL9;CDK4;PSMD8;MRPS18B;RSL1D1;SERBP1;POLE3;SNRPD3;TOMM70;YWHAQ;VDAC3;PSMC6;PHB;PTGES3;TRIM28;PSMB3;SNRPG;IMPDH2;DHX15;SNRPA1;PSMA2;MCM6;NOLC1;HNRNPR;EIF4H;LSM7;ETF1;HNRNPD;C1QBP;MCM2;RFC4;NPM1;NOP16;CCT7;BUB3;SF3B3;CLNS1A;TUFM;SNRPA;ILF2;CCT5;EXOSC7;SET;TYMS;PSMA4;TCP1;RANBP1;HNRNPU;PSMD7;RPL34;HNRNPC;KPNB1,GiB-48h,6.709117708398173
MYC_TARGETS_V2,0.00154422253904804,0.00396449022815701,0.45505986738722953,0.4792949455999045,1.681823311054094,58,AIMP2;NIP7;BYSL;PA2G4;NDUFAF4;NOP56;MRTO4;TFB2M;GRWD1;PPRC1;WDR43;FARSA;UTP20;CDK4;PHB;PES1;RRP12;WDR74;NOLC1;PRMT3;TCOF1;NPM1;NOP16;TBRG4;MPHOSPH10;NOP2,GiB-48h,2.4018126482786735
MYOGENESIS,2.916605129634664e-4,0.00132572960437939,0.49849310876659025,-0.4264118506851159,-1.6049986151001443,169,GJA5;COL6A3;ITGB4;VIPR1;PTP4A3;EPHB3;IGFBP3;FABP3;COL6A2;PPFIA4;SVIL;GSN;CRAT;GAA;MRAS;TNNT1;PFKM;FKBP1B;AEBP1;PSEN2;BIN1;COL15A1;COL1A1;NOTCH1;LARGE1;CFD;ADAM12;NQO1;MEF2C;MAPK12;AGRN;CKB;FHL1;DENND2B;TSC2;PGAM2;PC;HDAC5;RYR1;GPX3;DMPK;SLC6A8;AGL;APP;IGFBP7;SCD;ITGB5;TCAP;STC2;TPD52L1;TGFB1;MAPRE3;ATP2A1;OCEL1,GiB-48h,-2.8775450455396805
NOTCH_SIGNALING,0.01356620633914851,0.02608885834451637,0.3807304007227924,-0.5545037635334221,-1.590378200234127,30,LFNG;ARRB1;DTX4;ST3GAL6;PSEN2;DTX1;FZD7;NOTCH1;PRKCA;WNT5A,GiB-48h,-1.5835449253277252
OXIDATIVE_PHOSPHORYLATION,0.5830258302583026,0.6337237285416332,0.10552093684319848,0.22695954927976467,0.9614252874206352,200,BAX;MRPS30;MRPS22;TIMM8B;CYCS;UQCRFS1;TOMM22;ATP6V0E1;OGDH;FXN;MRPL15;NDUFA5;UQCR10;NDUFA6;COX11;TIMM50;NDUFS6;NDUFB5;NDUFA8;TIMM17A;TIMM10;NDUFS4;TOMM70;VDAC3;NDUFA9;ATP6V1F;FDX1;ATP5MC1;NDUFB3;NDUFB4;UQCRB;ATP6V1G1;HCCS;SLC25A11;GRPEL1;ATP5MF;MRPL35;ATP5ME;MTRF1;ATP5MG;SLC25A4;MRPL34;ATP6V0C;MRPS12;MTRR;SDHD;ATP5PF;ATP6V1C1;ATP5PO;ATP5F1B;UQCRQ;HSD17B10;TIMM13;TIMM9;HTRA2;COX6B1,GiB-48h,0.19810003126553843
P53_PATHWAY,4.630888527493076e-4,0.00192953688645544,0.49849310876659025,0.36097530117366794,1.5228773494613488,193,TCHH;CDKN1A;NHLH2;HBEGF;PPP1R15A;ATF3;JUN;GADD45A;TRIAP1;SLC3A2;BTG2;SAT1;RPS27L;TPRKB;IER5;BAX;DDIT3;ZMAT3;ABHD4;MXD1;FAS;PPM1D;RAD51C;SPHK1;DDB2;CCNK;EPHA2;PLK2;DNTTIP2;TNFSF9;CGRRF1;PCNA;SESN1;PLK3;AEN;MDM2;BTG1;CCND3;OSGIN1,GiB-48h,2.7145469147184276
PANCREAS_BETA_CELLS,0.9779411764705882,0.9779411764705882,0.05605958750323349,0.2018099914203258,0.584363346190659,27,SRPRB;SRP9;MAFB;SEC11A;IAPP;ELP4;AKT3;SRP14;FOXO1;NKX6-1,GiB-48h,0.00968726740313173
PEROXISOME,0.1935483870967742,0.2481389578163772,0.12043337164225933,-0.3274568724437969,-1.1515462001914043,97,SEMA3C;IDH1;IDE;CRAT;IDH2;DLG4;PEX11B;PEX5;CAT;MVP;ACSL4;ACSL5;ACOX1;CACNA1B;ABCB4;HSD3B7;PABPC1;CRABP2;HSD17B4;TSPO;HMGCL;ATXN1;CTBP1;DHRS3;SLC25A17;RETSAT;IDI1;LONP2;CADM1,GiB-48h,-0.6053050461411095
PI3K_AKT_MTOR_SIGNALING,0.05605413006427176,0.08493050009738146,0.3217759180753611,0.3388468438246026,1.2998259575274222,96,NGF;CDKN1A;SQSTM1;CDK2;GNGT1;RIT1;DDIT3;UBE2N;NFKBIB;UBE2D3;GSK3B;PRKAA2;EIF4E;NCK1;CDK4;ATF1;PRKAR2A;PPP2R1B;RAC1;SFN;CDK1;PAK4;ARHGDIA;PIN1;THEM4;E2F1,GiB-48h,1.0709363186457923
PROTEIN_SECRETION,0.7681159420289855,0.8001207729468599,0.07608371609517249,0.22959933492414208,0.8786741286916131,95,BET1;SH3GL2;RAB9A;RAB14;RAB2A;NAPA;SCAMP3;STAM;CLN5;GBF1;SEC22B;PPT1;M6PR;CLTA;GOSR2;AP1G1;SNX2;TMED2;SGMS1;MON2;RAB22A;YIPF6;ARCN1;VPS4B,GiB-48h,0.09684445417603468
REACTIVE_OXYGEN_SPECIES_PATHWAY,0.7023026315789473,0.7471304591265397,0.05291298484305835,-0.27448095637714703,-0.8618973975128579,48,PRDX6;FES;PFKP;STK25;NQO1;CAT;GPX3;HHEX;ERCC2;GPX4;SBNO2;G6PD;TXNRD1,GiB-48h,-0.12660355784740973
SPERMATOGENESIS,0.9385307346326835,0.9576844230945752,0.03531570464798794,-0.20906356894030412,-0.7460865509556576,104,CCNA1;CCT6B;IDE;SPATA6;ART3;CNIH2;TTK;CLPB;TLE4;PCSK1N;CHFR;NF2;PEBP1;GSTM3;GMCL1;JAM3;SEPTIN4;BRAF;MLF1;IL13RA2;DBF4;GPR182;STRBP,GiB-48h,-0.01877757639861415
TGF_BETA_SIGNALING,0.21462639109697937,0.26828298887122415,0.11573444770168878,-0.3693064841762941,-1.179951817625723,52,SMAD6;CDKN1C;SMAD7;ID2;ID1;SMAD3;NCOR2;HIPK2;IFNGR2;ID3;BMPR1A;CTNNB1;TGIF1;TGFBR1;SMURF1;TGFB1;THBS1;RAB31,GiB-48h,-0.5714068639422064
TNFA_SIGNALING_VIA_NFKB,6.455748614561565e-4,0.00230562450520055,0.47727081536286214,0.3577099867910866,1.506774231572073,188,CDKN1A;HBEGF;PPP1R15A;BCL2A1;SQSTM1;ATF3;NR4A3;SERPINE1;CSF2;GEM;JUN;GADD45A;BTG2;SAT1;IER5;IL7R;MXD1;BIRC3;SPHK1;NR4A1;SLC16A6;PMEPA1;PLK2;TNFSF9;CLCF1;DNAJB4;NFE2L2;YRDC;FOSL1;GADD45B;TNFAIP3;CCN1;MAFF;EDN1;DUSP1;BTG1;FJX1;TNFRSF9;JAG1;IER2;ZFP36;SDC4;KLF10;FOSB;F3;TUBB2A;IRS2;DRAM1;PLAUR;DUSP5,GiB-48h,2.637211420631047
UNFOLDED_PROTEIN_RESPONSE,0.00652581480740926,0.01354328499730351,0.40701791892395395,0.36736823157775506,1.452275654211855,112,ATF3;XBP1;EXOSC1;EIF4A3;NOP56;EIF4A1;EXOSC9;EIF2S1;EIF4E;DNAJB9;EXOSC4;SRPRB;IMP3;DKC1;ARFGAP1;SLC7A5;NABP1;CXXC1;MTREX;TUBB2A;NOP14;BAG3;SERP1;ZBTB17;CNOT4;BANF1;PREB;NOLC1;YIF1A;EXOSC10;LSM1;GOSR2;SRPRA;NPM1;FUS;H2AX;GEMIN4;DCP1A;MTHFD2;SEC11A;CKS1B;DDX10;PARN;ATP6V0D1;KIF5B;LSM4;POP4;YWHAZ;HERPUD1;TARS1,GiB-48h,1.868275982388955
UV_RESPONSE_DN,0.018044748423692,0.03222276504230714,0.35248785758361917,-0.3675186021832016,-1.3555294467863015,141,IGFBP5;EFEMP1;VLDLR;PIK3CD;PPARG;CDON;ITGB3;ARHGEF9;SNAI2;SLC22A18;PIAS3;SMAD7;RXRA;COL1A1;ID1;PRKAR2B;SMAD3;ANXA4;CACNA1A;PDGFRB;KALRN;VAV2;ZMIZ1;ADD3;MTA1;BCKDHB;NRP1;ERBB2;BMPR1A;MAP2K5;PRKCA;CDC42BPA;RBPMS;MIOS;COL5A2;CDKN1B;FZD2,GiB-48h,-1.4918371954161034
UV_RESPONSE_UP,0.03728313003186968,0.060134080696563993,0.3217759180753611,0.3112691230539456,1.2760529997309342,150,TCHH;SQSTM1;ATF3;CDK2;BTG2;DNAJA1;FEN1;NR4A1;ABCB1;ONECUT1;PSMC3;DNAJB1;PPP1R2;TFRC;BTG1;CCND3;CHKA;CLTB;CYB5B;CYB5R1;FOSB;WIZ;POLE3;CDO1;PARP2;PPT1;ATP6V1F;PDAP1;PPAT;PRPF3;HMOX1;COL2A1;GRPEL1;CDC5L;POLG2;SIGMAR1;RFC4;H2AX;SOD2;SLC25A4;CNP;TMBIM6,GiB-48h,1.2208793239464986
WNT_BETA_CATENIN_SIGNALING,0.00144554631777345,0.00396449022815701,0.45505986738722953,-0.586380823393878,-1.765664339955422,39,NKD1;TCF7;WNT5B;HDAC11;PTCH1;PSEN2;TP53;JAG2;NOTCH1;FZD8;WNT6;HEY2;NCOR2;LEF1;HDAC5;CTNNB1,GiB-48h,-2.4018126482786735
XENOBIOTIC_METABOLISM,0.00303785453951362,0.00690421486253097,0.4317076958033464,-0.3991495615771664,-1.496800888645424,167,ATOH8;RBP4;AKR1C2;PTGES;IDH1;MAN1A1;FBLN1;JUP;AKR1C3;CYP2S1;ALDH2;ACOX3;CSAD;PSMB10;ID2;NDRG2;ABCC3;SMOX;MAOA;PINK1;PMM1;DDAH2;NQO1;NINJ1;TGFB2;CAT;FAH;DHRS1;LPIN2;XDH;PAPSS2;PC;TNFRSF1A;ACOX1;ABHD6;RAP1GAP,GiB-48h,-2.1608857016266287
