pathway,pval,padj,log2err,ES,NES,size,leadingEdge,culture,signed_log_padj
DNA_REPAIR,2.34801037708409e-4,0.00117400518854204,0.5188480777437918,0.39745750501656046,1.6293837196760974,150,BRF2;FEN1;RAD51;TAF12;DDB2;TAF9;ERCC4;CLP1;PNP;PCNA;POLR3C;TAF13;DAD1;NUDT9;ELL;GTF2B;ELOA;POLR2K;ZWINT;STX3;DGCR8;NUDT21;POLE4;POLR1H;SUPT4H1;RPA3;TAF6;POLR2G;MRPL40;PRIM1;MPC2;SNAPC5;POLR2A;GTF2H1;RAE1;BOLA2;GTF2F1;EDF1;POLR2C;GTF2H5;SF3A3;IMPDH2;CETN2;RFC2;POLA2;NT5C3A;RFC4;VPS37B;REV3L;DGUOK;SAC3D1;ZNF707;CCNO;RPA2;POLD3;TMED2;TYMS;ERCC1;POLR2J;AK1;ADRM1;TAF1C;APRT;ERCC8;RALA,GiB-48h,2.93032998371004
E2F_TARGETS,4.393072345595939e-6,5.491340431994923e-5,0.610526878385931,0.41135165609519486,1.7425302678266188,200,CDKN1A;RRM2;ING3;PPM1D;RAD51C;EXOSC8;PA2G4;DDX39A;PSMC3IP;NOP56;GINS1;PPP1R8;POP7;ASF1A;PCNA;TCF19;CDC25A;NUP107;E2F8;EIF2S1;PHF5A;TFRC;MCM7;CHEK1;RAD51AP1;NUDT21;UBE2T;POLE4;AK2;SYNCRIP;RPA3;RNASEH2A;UBE2S;TRA2B;ATAD2;SLBP;DIAPH3;CDK4;GINS4;EED;CCP110;DONSON;MKI67;MSH2;HELLS;DCK;KIF18B;AURKB;NUP153;CDK1;TACC3;DCLRE1B;MCM6;NOLC1;HNRNPD;SNRPB;RFC2;MCM2;HMGB2;POLA2;H2AX;SPC25;TUBG1;TBRG4;CNOT9;MTHFD2;RPA2;CBX5;POLD3,GiB-48h,4.260321631658698
EPITHELIAL_MESENCHYMAL_TRANSITION,1.2014361210761423e-4,8.5816865791153e-4,0.5384340963099162,-0.4271461902369378,-1.6321183005256843,188,CDH11;COL6A3;BGN;MGP;COL8A2;MMP1;ANPEP;FN1;IGFBP3;COL5A1;COL6A2;DCN;FSTL1;TIMP3;FBLN1;SPOCK1;NID2;ABI3BP;ITGB3;LOXL2;SNAI2;CTHRC1;CD44;CRLF1;SFRP1;ID2;TGFBI;COL1A1;MMP2;PDGFRB;GAS1;FZD8;PRRX1;LRP1;PCOLCE;ADAM12;QSOX1;EFEMP2;AREG;PLOD1;MMP14;HTRA1;ITGAV;GPC1;FBN1;NNMT;VEGFC;NT5E;COL5A2;MYL9;SLC6A8;APLP1;ELN;MAGEE1;WNT5A;ITGB5;TGM2;COLGALT1;LAMC2;TGFB1;VIM;MFAP5;GPX7;SERPINE2;ITGA5;P3H1;PLOD2;THBS1;EDIL3;MSX1;IGFBP2;CAPG;CALD1;LAMC1;PDLIM4;SNTB1;COL4A2;WIPF1;CAP2;COL7A1;BASP1;BMP1;ECM2;TNC;DST,GiB-48h,-3.0664273508434707
ESTROGEN_RESPONSE_EARLY,5.026023582637235e-5,4.188352985531029e-4,0.557332238758646,-0.4352105787037246,-1.6613480492761823,187,OLFML3;SLC37A1;TUBB2B;RPS6KA2;PTGES;THSD4;DHRS2;DEPTOR;TMPRSS3;ABAT;SCNN1A;SLC1A1;KRT15;SVIL;KCNK5;ASB13;UNC119;TIAM1;SLC26A2;HR;PDLIM3;PODXL;RETREG1;CD44;PDZK1;KAZN;WFS1;RAB17;RAPGEFL1;LRIG1;ADD3;AQP3;KDM4B;NCOR2;RHOBTB3;FASN;AREG;FARP1;ZNF185;ALDH3B1;PAPSS2;TFAP2C;AKAP1;NRIP1;TFF3;SCARB1;TBC1D30;MYOF;UGCG;ADCY1;TGM2;NADSYN1;STC2;TPD52L1;CELSR2;CANT1;AMFR;FOXC1;GFRA1;INPP5F;RAB31;TPBG;PLAAT3;BAG1;TGIF2;DHRS3;LAD1;DHCR7;CELSR1;MPPED2;AR;FAM102A,GiB-48h,-3.3779567240303847
ESTROGEN_RESPONSE_LATE,2.2465970707859386e-5,2.2465970707859383e-4,0.5756102610711286,-0.457955317283855,-1.7276897196428205,178,ASS1;ST6GALNAC2;PKP3;RPS6KA2;CCNA1;PTGES;CD9;DHRS2;TMPRSS3;SCNN1A;FGFR3;KCNK5;TIAM1;IDH2;HOMER2;SLC26A2;HR;PDLIM3;IGSF1;CD44;IMPA2;PDZK1;WFS1;PDCD4;ID2;SERPINA3;PRKAR2B;RAPGEFL1;LARGE1;ADD3;MDK;NCOR2;GAL;SNX10;AREG;FARP1;ALDH3B1;CYP4F11;PAPSS2;TFAP2C;CKB;SERPINA5;NRIP1;TFF3;LLGL2;SCARB1;PLXNB1;MYOF;COX6C;LSR;LAMC2;TPD52L1;CELSR2;EMP2;KIF20A;AMFR;FOXC1;RAB31;DLG5;GFUS;TPBG;PLAAT3;BAG1;SGK1;DHCR7;PTPN6;TH;FAM102A;CPE;GJB3;OPN3;PRSS23;FDFT1;SORD;ETFB;SLC9A3R1;TSPAN13;ISG20;TOP2A,GiB-48h,-3.648474811704426
FATTY_ACID_METABOLISM,0.02699659429497377,0.0465458522327134,0.35248785758361917,-0.3666349915388771,-1.354370543898749,140,IDH1;PRDX6;GLUL;CRAT;AUH;PPARA;D2HGDH;MAOA;REEP6;CPT2;GCDH;FASN;BCKDHB;ACSS1;AOC3;GRHPR;ACSL4;ACSL5;ACOX1;MIF;ACADS;CYP1A1;HADH;MGLL;ME1;ADSL;HSD17B4;ACADM;HMGCL;ETFDH;CBR3;PSME1;UBE2L6;UROS;ACAA2;BMPR1B;CPT1A;RETSAT;IDI1;ACO2;LDHA;PTPRG;HMGCS1;BPHL;S100A10;CPOX;DECR1;IDH3G;NBN;ALDH9A1,GiB-48h,-1.3321190135591787
G2M_CHECKPOINT,0.00106215523512948,0.0035405174504316,0.45505986738722953,0.33918060848489784,1.4395070293038652,199,HSPA8;SNRPD1;ODC1;DDX39A;UCK2;EWSR1;CDC25A;PURA;MNAT1;TPX2;CHEK1;G3BP1;SYNCRIP;DKC1;MT2A;DR1;NUP98;UBE2S;TRA2B;SLC7A5;DTYMK;CDC7;MTF2;CDK4;PAFAH1B1;EFNA5;SLC38A1;MKI67;NSD2;RBL1;CUL3;CDC6;AURKB;CDK1;TACC3;MCM6;HMGN2;NOLC1;PRC1;ORC5;HNRNPD;MCM2;POLA2;HIF1A;ATF5;E2F3;BUB3;CHAF1A;H2AX;E2F1;SS18;ATRX;RPA2;UBE2C;NUMA1;HNRNPU;SLC7A1;CKS1B;PRIM2;KPNB1;PDS5B;YTHDC1;KIF5B;UPF1;NDC80;PML;E2F4;H2AZ2;CDC45;SUV39H1;SMC2;FBXO5;RBM14;CDC27;GSPT1;H2AZ1;SRSF10;NUP50;PRMT5,GiB-48h,2.450933260730048
GLYCOLYSIS,4.8305804007354654e-8,1.2076451001838665e-6,0.7195128263389107,-0.503475389253665,-1.926193894532123,190,DPYSL4;ARTN;ANGPTL4;ANG;IGFBP3;CAPN5;EGLN3;IDH1;STC1;COL5A1;VLDLR;SDC3;DCN;EFNA3;PPFIA4;PYGB;GNE;GYS1;UGP2;CHST1;CD44;CHST6;DDIT4;PFKP;TGFBI;SRD5A3;XYLT2;AK4;PYGL;HK2;MXI1;IER3;PHKA2;QSOX1;CTH;PLOD1;DSC2;SLC37A4;AGRN;GPC1;ME2;PPIA;NT5E;P4HA2;PGAM2;P4HA1;IL13RA1;PC;ENO1;ALDH7A1;TFF3;AGL;MIF;SPAG4;PGK1;SLC16A3;MPI;STC2;ABCB6;ME1;ADORA2B;B4GALT2;GLCE;FUT8;GPC4;PLOD2;KIF20A;CHST12;BIK;GFUS;TPBG;G6PD;PGLS;GALK1,GiB-48h,-5.9180606763749735
HEDGEHOG_SIGNALING,0.00155570255922858,0.00396449022815701,0.45505986738722953,-0.6055476374506505,-1.80081227548647,34,UNC5C;NRCAM;CRMP1;DPYSL2;VLDLR;PTCH1;AMOT;HEY2;NRP1;ADGRG1,GiB-48h,-2.4018126482786735
HEME_METABOLISM,0.1379800853485064,0.18645957479527892,0.13959967345192228,-0.3138523670833399,-1.184044572976001,178,SLC6A9;RHD;TENT5C;MBOAT2;AGPAT4;ERMAP;KEL;EIF2AK1;KDM7A;SMOX;NNT;C3;MXI1;AQP3;CAT;LPIN2;DAAM1;OPTN;P4HA2;ASNS;BCAM;PC;SLC6A8;RAP1GAP;SIDT2;DCAF10;ALDH6A1;CCDC28A;TFDP2;ABCB6;FBXO7;FOXO3;MKRN1;CTSB;FOXJ2;KAT2B;TRAK2;BNIP3L;PGLS;RBM38;EPOR;UROS;RANBP10;GYPC;RNF19A;ADD1;YPEL5;RBM5;TOP1;XPO7;LAMP2;PPP2R5B;SLC11A2;RHCE;ACP5;CPOX;PRDX2;KHNYN;ACKR1;HMBS;RCL1;RNF123;CAST;ANK1;LRP10;UBAC1;HEBP1,GiB-48h,-0.7294153104845553
