direction,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,y
repressed,GO:0120035,regulation of plasma membrane bounded cell projection organization,81/1337,256/5775,9.012588462543444e-4,0.017422872232712033,0.014086941863918994,ROBO1/ESPN/ILK/ABI2/UBE3A/DOCK11/ZEB2/DPYSL2/SCARB2/EPS8/OPA1/EPS8L2/ADNP/ARHGEF7/PAK1/DBNL/CDH2/EZR/PTK2/MAP4/MARK2/CEP97/B2M/PRRX1/EEF2K/DNM1L/PODXL/ADAM10/PLXNB2/ARPC2/KDM1A/AP2A1/HSPA5/RALA/CD44/FER/RAB5A/ITGA6/APC/ITGA3/AKT1/L1CAM/ID1/HTT/CRKL/MAP1B/IQGAP1/FXR1/ACTR3/ACTR2/NCS1/VLDLR/YWHAH/PRKCD/LRP1/PPP3CA/PTK7/PLD1/PLS1/FNBP1L/NEGR1/SFRP1/PREX1/SIN3A/KATNB1/TUBB2B/DHX36/BCAS3/TANC2/MOV10/KIF13B/ANLN/ARHGAP35/TMEM106B/TENM3/CTSZ/PLXNA1/PLAA/INPP5F/FBXO7/NPTN,81,138
repressed,GO:0010648,negative regulation of cell communication,144/1337,496/5775,8.888029353724346e-4,0.017266304082749796,0.013960351575199644,PSMA2/ATAD5/PTPRJ/ROBO1/PSMB3/TNIP1/NDRG2/RNF213/SPRY4/DNM1/HADH/SCYL2/ELF1/PSMB8/CTNNB1/OPA1/ITCH/CTNND1/STAT1/ADNP/RAB7A/CNOT1/IGFBP3/CPNE1/ARHGEF7/PSME3/NPRL3/NCOR2/CDH2/GCLC/TANK/EZR/EYA4/EGFR/CNOT2/PSMA6/BRAP/SMAD4/MGRN1/PIK3R2/PSMA7/HDAC3/SPRY2/KDM1A/STAM2/ENO1/ITGAV/SERPINE2/GSTP1/CALM2/HSPA5/CD44/STMN1/YBX3/PFKL/LGALS3/PSMB1/NF1/ITGA6/RPS6KB1/ATP2B4/APC/PSMA1/PSMA3/PSMA4/ITGA3/PSMB9/PSMA5/PSMB5/AKT1/YWHAB/GBP1/CTH/CTNNA1/TIMP3/PPM1A/EPS15/ACAA2/HTT/PSMB2/MMP14/PSMD7/VCP/ADAR/BID/ITGA1/VSNL1/GRB2/GNAI1/ADAM17/SMAD3/DAB2/TLE4/PTPN12/PRKCD/PSME1/LRP1/PPP3CA/STK4/STK3/ATM/MTM1/RIPK1/HDAC1/PKD2/CUL3/DAG1/MVP/CASP8/SMAD2/PARP14/PDCD4/HERC4/CD109/METTL3/UBR2/ARHGAP12/CCAR2/SFRP1/SCAI/DEPTOR/RB1CC1/UBASH3B/PHIP/GLG1/PBK/PSMB7/INPP5K/UACA/TAOK3/BIRC6/ARHGAP35/HOMER3/PIH1D1/UBQLN2/APPL1/UBQLN1/STUB1/PSMD13/INPP5F/YTHDF2/SNX5/EMILIN1/IVNS1ABP,144,139
repressed,GO:0005975,carbohydrate metabolic process,84/1337,267/5775,8.852026781089181e-4,0.017266304082749796,0.013960351575199644,CLTC/PPIP5K2/APP/SCARB2/MANBA/PFKM/GPI/LDHB/MDH1/SORD/GLA/STAT3/BPNT1/IGFBP3/GCLC/INPP5B/UGP2/NUP155/GBE1/NEU1/RAE1/MPI/GM2A/HEXA/PKM/OGT/INPPL1/SLC37A4/UGDH/IDH1/H6PD/AP2A1/LDHA/GOT2/PGK1/ALDH2/ENO1/PYGL/PGK2/PDHA1/GAA/PDHB/PYGB/G6PD/TPR/GYS1/AKR1B1/GLB1/GOT1/PFKL/ARNT/AKT1/AGL/PGM1/MDH2/ME1/NUP153/PGD/HK2/SLC25A1/SLC5A3/GALK2/PFKP/OCRL/GLO1/NUP160/GANAB/DDB1/PCK2/NUP54/KBTBD2/B3GNT7/RB1CC1/TFAP2B/EXT2/SEH1L/DHTKD1/INPP5K/NLN/ISYNA1/MYOF/NUP50/GNE/POFUT2,84,140
repressed,GO:0010811,positive regulation of cell-substrate adhesion,21/1337,47/5775,8.755125002252695e-4,0.017176515041548233,0.013887754302687443,PTPRJ/DOCK1/ILK/ARHGEF7/ARPC2/ITGA5/ITGA6/ITGA3/ARL2/CRKL/IQGAP1/SMAD3/STK4/ROCK1/DAG1/RSU1/SFRP1/PREX1/DOCK5/EPB41L5/EMILIN1,21,141
repressed,GO:0033238,regulation of cellular amine metabolic process,21/1337,47/5775,8.755125002252695e-4,0.017176515041548233,0.013887754302687443,PSMA2/PSMB3/PSMB8/PSME3/NQO1/PSMA6/PSMA7/HPRT1/PSMB1/ATP2B4/PSMA1/PSMA3/PSMA4/PSMB9/PSMA5/PSMB5/PSMB2/PSMD7/PSME1/PSMB7/PSMD13,21,142
repressed,GO:0071559,response to transforming growth factor beta,35/1337,92/5775,8.750799564653621e-4,0.017176515041548233,0.013887754302687443,PXN/ADAM9/APAF1/PTK2/LTBP3/SOX5/SMAD4/SPRY2/HSP90AB1/PARP1/HSPA5/GOT1/ENG/ITGB5/ITGA3/PPM1A/ZEB1/ID1/CRKL/ADAM17/SMAD3/DAB2/ROCK1/SMAD2/CD109/SFRP1/APPL2/GLG1/USP9X/SMAD5/EPB41L5/APPL1/STUB1/USP15/EMILIN1,35,143
repressed,GO:0060337,type I interferon signaling pathway,18/1337,38/5775,8.744230204414814e-4,0.017176515041548233,0.013887754302687443,HLA-A/HLA-C/PSMB8/TBK1/STAT2/JAK1/STAT1/HLA-B/IFITM3/HSP90AB1/IFIT1/ADAR/UBE2K/IFI35/RNASEL/METTL3/YTHDF2/OAS3,18,144
repressed,GO:0071357,cellular response to type I interferon,18/1337,38/5775,8.744230204414814e-4,0.017176515041548233,0.013887754302687443,HLA-A/HLA-C/PSMB8/TBK1/STAT2/JAK1/STAT1/HLA-B/IFITM3/HSP90AB1/IFIT1/ADAR/UBE2K/IFI35/RNASEL/METTL3/YTHDF2/OAS3,18,145
repressed,GO:0010639,negative regulation of organelle organization,68/1337,208/5775,8.739116671512767e-4,0.017176515041548233,0.013887754302687443,GSN/ESPN/EPS8/OPA1/POT1/SVIL/MID1/RAB7A/TRIP12/SCFD1/GCLC/UBR5/ADD1/MAP4/CCNB1/CEP97/PHF8/TOM1L1/EML2/SMAD4/DNM1L/NDC80/ZW10/RAD21/KDM1A/TBC1D4/NBN/TFRC/TUBB4A/HNRNPA1/PARP1/PRKAR1A/TOP2A/TPR/STMN1/APC/AKT1/TTK/NAA10/ACAA2/ATRX/MAP1B/LMAN1/CENPF/CAPZA1/HNRNPU/PRKCD/SMARCB1/MAD2L1/ATM/CTBP1/MTM1/PCID2/TOM1L2/TAOK1/HUWE1/PHLDB2/XRN1/RAD50/SPDL1/SIN3A/VAT1/INPP5K/KATNB1/PIH1D1/TMOD3/ADD3/ASF1A,68,146
repressed,GO:0035567,non-canonical Wnt signaling pathway,32/1337,82/5775,8.671222168135194e-4,0.017176515041548233,0.013887754302687443,PSMA2/PSMB3/CLTC/AP2M1/RNF213/AP2A2/PSMB8/CTNNB1/PSME3/PSMA6/PSMA7/AP2A1/GNAO1/PSMB1/PSMA1/PSMA3/PSMA4/PSMB9/PSMA5/PSMB5/PSMB2/PSMD7/AP2B1/DAB2/PLCB3/PSME1/PPP3CA/PTK7/SFRP1/PSMB7/MOV10/PSMD13,32,147
repressed,GO:0034612,response to tumor necrosis factor,45/1337,126/5775,8.604510359829748e-4,0.017176515041548233,0.013887754302687443,PSMA2/PSMB3/MADD/ILK/PSMB8/STAT1/ADAM9/CPNE1/PSME3/TANK/LTBR/PSMA6/NUB1/ADAM10/PSMA7/GSTP1/YBX3/PSMB1/PSMA1/PSMA3/PSMA4/PSMB9/PSMA5/PSMB5/MAPK1/AKT1/GBP1/CASP3/PSMB2/PSMD7/UBE2K/ADAM17/AKAP12/PSME1/DHX9/TRAF1/BIRC2/RIPK1/CASP8/ZFAND6/MAP4K3/SFRP1/PSMB7/INPP5K/PSMD13,45,148
repressed,GO:0001656,metanephros development,10/1337,16/5775,8.511134715617126e-4,0.017176515041548233,0.013887754302687443,CTNNB1/NIPBL/STAT1/SMAD4/AKR1B1/NF1/ACAT1/BASP1/PKD2/TFAP2B,10,149
repressed,GO:0072073,kidney epithelium development,17/1337,35/5775,8.480182521526774e-4,0.017176515041548233,0.013887754302687443,ILK/CTNNB1/STAT1/SMAD4/PODXL/LAMA5/CAT/ACAT1/IQGAP1/BASP1/SMAD3/MYO1E/PKD2/SMAD2/SFRP1/TFAP2B/SMAD5,17,150
repressed,GO:0009968,negative regulation of signal transduction,138/1337,472/5775,8.324983676308566e-4,0.017176515041548233,0.013887754302687443,PSMA2/ATAD5/PTPRJ/ROBO1/PSMB3/TNIP1/NDRG2/RNF213/SPRY4/DNM1/SCYL2/ELF1/PSMB8/CTNNB1/OPA1/ITCH/CTNND1/STAT1/RAB7A/CNOT1/IGFBP3/CPNE1/ARHGEF7/PSME3/NPRL3/NCOR2/CDH2/GCLC/TANK/EZR/EYA4/EGFR/CNOT2/PSMA6/BRAP/SMAD4/MGRN1/PIK3R2/PSMA7/HDAC3/SPRY2/KDM1A/STAM2/ENO1/ITGAV/SERPINE2/GSTP1/CALM2/HSPA5/CD44/STMN1/YBX3/LGALS3/PSMB1/NF1/ITGA6/RPS6KB1/ATP2B4/APC/PSMA1/PSMA3/PSMA4/ITGA3/PSMB9/PSMA5/PSMB5/AKT1/YWHAB/GBP1/CTH/CTNNA1/TIMP3/PPM1A/EPS15/ACAA2/HTT/PSMB2/MMP14/PSMD7/VCP/ADAR/BID/ITGA1/GRB2/ADAM17/SMAD3/DAB2/TLE4/PTPN12/PRKCD/PSME1/LRP1/STK4/STK3/ATM/MTM1/RIPK1/HDAC1/PKD2/CUL3/DAG1/MVP/CASP8/SMAD2/PARP14/PDCD4/HERC4/CD109/METTL3/UBR2/ARHGAP12/CCAR2/SFRP1/SCAI/DEPTOR/RB1CC1/UBASH3B/PHIP/GLG1/PBK/PSMB7/INPP5K/UACA/TAOK3/BIRC6/ARHGAP35/HOMER3/PIH1D1/UBQLN2/APPL1/UBQLN1/STUB1/PSMD13/INPP5F/YTHDF2/SNX5/EMILIN1/IVNS1ABP,138,151
repressed,GO:0010564,regulation of cell cycle process,123/1337,414/5775,8.236749935883144e-4,0.017090178008327173,0.013817948087532814,PSMA2/ATAD5/PSMB3/CLTC/SH3GLB1/APP/PSMB8/EHMT1/PIK3C3/CTNNB1/CUL1/NIPBL/SVIL/CHMP1A/KIF11/XPO1/CNOT1/PSME3/STXBP4/CNOT3/PCBP4/APAF1/MAP9/ERCC2/CCNB1/EGFR/CEP97/RAE1/CNOT2/PSMA6/GIGYF2/TOM1L1/GIT1/CUL4B/NDC80/PSMA7/ZW10/RAD21/BRD4/NBN/SYF2/CHEK2/ANXA1/TUBB4A/HSP90AB1/CALM2/PRKAR1A/TPR/RPA2/PSMB1/ATP2B4/APC/PSMA1/PSMA3/PSMA4/PSMB9/PSMA5/PSMB5/CDC25C/AKT1/SFN/TTK/NAA10/CDKN2C/ATRX/CENPF/PSMB2/PSMD7/BID/ACTR1A/YWHAG/GNAI1/TUBB4B/PRKDC/ADAM17/LSM11/HNRNPU/PSME1/MAD2L1/ATM/RIPK1/PKD2/CUL3/DYNC1H1/KIF14/PCM1/DLGAP5/PKN2/DDB1/PCID2/FHL1/TOM1L2/SND1/TAOK1/CHMP1B/SLFN11/MGA/SFRP1/APPL2/NEDD1/PDCD6IP/PHIP/AHCTF1/SPDL1/MYO19/KIF20B/PPP1R9B/SIN3A/PSMB7/CEP250/TAOK3/CNOT10/ANLN/BIRC6/NDE1/TMOD3/CNOT8/SUSD2/ANAPC7/APPL1/PSMD13/FBXO7/YTHDF2,123,152
repressed,GO:0045839,negative regulation of mitotic nuclear division,16/1337,32/5775,8.045246474274287e-4,0.016780690409236316,0.01356771759982877,CCNB1/TOM1L1/NDC80/ZW10/RAD21/TPR/APC/TTK/NAA10/ATRX/CENPF/MAD2L1/ATM/PCID2/TOM1L2/SPDL1,16,153
repressed,GO:0048534,hematopoietic or lymphoid organ development,104/1337,341/5775,7.78145738553874e-4,0.016316357470312185,0.013192289769746545,PSMA2/PTPRJ/PSMB3/SBDS/APP/ABI1/DOCK11/PSMB8/CTNNB1/KCNAB2/ITCH/STAT1/N4BP2L2/HSPA9/STAT3/CTSL/HLA-DRB1/PSME3/HLA-B/RBPJ/ADD1/UBA5/ERCC2/LTBR/B2M/PIK3CD/PSMA6/WDR61/DNASE2/PSMA7/HMGB3/ARIH2/TFRC/ANXA1/PARP1/BCR/TOP2A/G6PD/XRCC6/CEBPB/LGALS3/EIF2AK2/PSMB1/NF1/PSMA1/PSMA3/PSMA4/ARNT/PIK3R1/PSMB9/PSMA5/PSMB5/MAPK1/MYH9/ZEB1/CASP3/CRKL/PSMB2/MMP14/PSMD7/STAT5B/ADAR/LOXL3/PRKDC/ADAM17/KMT2A/GLO1/PSME1/MYO1E/STK4/STK3/ATM/NFATC2/RIPK1/HDAC1/CASP8/IFI16/RABL3/PCID2/SH3PXD2A/CTR9/CD109/METTL3/SFRP1/PREX1/UBASH3B/DHTKD1/L3MBTL3/PUS7/SIN3A/TCF12/PSMB7/SMAD5/SSBP3/FANCD2/DHX36/MOV10/ANLN/TMOD3/CHD7/MALT1/PSMD13/FBXO7/YTHDF2,104,154
repressed,GO:0009165,nucleotide biosynthetic process,44/1337,122/5775,7.738044657299953e-4,0.01631163349834027,0.01318847028937349,PRPS1/STAT3/PAICS/PKM/PDHX/SCD/PAPSS1/PRPSAP2/ACSL4/PAPSS2/HPRT1/ENO1/PDHA1/DLD/PARP1/PDHB/PRPS2/GART/RRM1/ACAT1/MAPK1/ATIC/DUT/SHMT1/NNMT/ME1/SLC25A1/ACLY/VCP/DHODH/ACACA/PRPSAP1/KYNU/UPP1/NADK2/ACSF3/PARP9/RAD50/GCDH/NUDT12/PPCS/CTPS2/PANK4/PDP1,44,155
repressed,GO:0044255,cellular lipid metabolic process,116/1337,386/5775,7.26853430659136e-4,0.015403851046535593,0.012454499538003996,IVD/DBI/NCEH1/ECI2/HADH/CPT2/PIK3C3/ALG6/ABCD3/ESYT2/ETNK1/GLA/CTSA/WDR91/BPNT1/SLC25A17/CPNE1/AKR1C2/ACADM/OXSM/PCCB/AMACR/PEX2/PTK2/INPP5B/AGK/ACSF2/EGFR/NEU1/PIK3CD/MTMR1/PTGR2/ECHDC1/GM2A/HEXA/STRA6/PIK3C2A/PIK3R2/SCD/PTGES/SPTLC1/INPPL1/ACSL4/CPNE3/IDH1/CAT/ANXA1/PCCA/GSTP1/DLD/LTA4H/AKR1B1/GLB1/CAPN2/RAB5A/SCP2/ACAT1/ITGB8/PIK3R1/PRDX6/ECHS1/AKT1/ABCD1/ACAA2/CRAT/ACADSB/ALDH1A3/LSS/ACADVL/HSD17B4/ACLY/HADHB/PLP1/RAB14/HSPG2/OCRL/GSTM4/PRKCD/LRP1/ECH1/ACACA/ATM/PLD1/MTM1/IDI1/ACOX1/PTGES3/DECR1/PCK2/UGT8/TYSND1/ACSF3/AGMO/MBOAT2/LPCAT2/AACS/ZADH2/GDPD1/APPL2/PLBD2/PIP4K2C/PI4K2B/FAR1/GCDH/INPP4A/QKI/PCYT2/INPP5K/BDH2/TBL1XR1/SCPEP1/ISYNA1/PDP1/PLAA/INPP5F/MORC2,116,156
