pathway,pval,padj,log2err,ES,NES,size,leadingEdge,signed_log_padj
INTERFERON_GAMMA_RESPONSE,6.126761060550441e-7,3.0633805302752206e-5,0.6594443980379349,-0.527318706928332,-2.120187247300391,86,TNFAIP2;HELZ2;TDRD7;MVP;HLA-B;ADAR;DDX60;IFIT1;B2M;STAT2;LGALS3BP;IFI35;CASP8;UPP1;PLA2G4A;CASP3;VAMP5;MTHFD2;PDE4B;STAT1;RAPGEF6;PSMA3;TRAFD1;BPGM;RIPK1;IFITM3;PSMA2;NMI;STAT3;NCOA3;TXNIP;PARP14;MX2;RNF213;OAS3;TRIM21;HLA-DRB1;PFKP;TRIM25;NAMPT;PSMB9;EIF2AK2;CASP4,-4.51379905218659
KRAS_SIGNALING_DN,0.20952380952380953,0.29931972789115646,0.13010563075112855,-0.4677016081344974,-1.2368618030438403,14,TFAP2B;CDKAL1;KRT1;SPTBN2;PTPRJ,-0.5238646582619887
KRAS_SIGNALING_UP,0.05172413793103448,0.12692368713311122,0.27650059925447157,-0.41458370691929974,-1.4454401972472415,45,SERPINA3;PRRX1;FBXO4;GFPT2;TRAF1;IGFBP3;JUP;TSPAN13;CBR4;SPRY2;ENG;PTBP2;ANKH;BPGM;ALDH1A3,-0.8964573201336714
MITOTIC_SPINDLE,0.13028764805414553,0.2246338759554233,0.15851410542482433,-0.27429662552375056,-1.205738107735133,157,DLGAP5;TTK;CEP192;NDC80;KIF3C;PREX1;GSN;LRPPRC;ARHGAP5;TOP2A;SUN2;MARCKS;RAPGEF6;PXN;SMC3;ARF6;TLK1;RANBP9;LLGL1;MYH10;ARHGAP29;FGD4;CENPF;AKAP13;MYO1E;DOCK4;CNTRL;LMNB1;WASL;PKD2;SMC1A;MID1;SMC4;CDC42BPA;APC;CSNK1D;ANLN;KIF20B;MAPRE1;NF1;RAB3GAP1;HDAC6;KIF11;KATNB1;BCR;CD2AP;ARHGEF7;RFC1;CEP250;DYNC1H1;BIN1;CTTN;RICTOR;KATNA1;PDLIM5;RHOF;TSC1;PCM1;MYO9B;PALLD;EZR;CYTH2;ROCK1;MYH9;ARHGEF11;KIF4A,-0.6485247492717108
MTORC1_SIGNALING,0.0015831347910268284,0.00719606723194013,0.45505986738722953,-0.3661087331828267,-1.5844506748969998,143,CD9;ASNS;CTH;PSAT1;IDH1;SCD;IDI1;GGA2;BCAT1;VLDLR;PHGDH;PGM1;ADD3;SLC37A4;PSPH;PGK1;HSPA5;LDHA;PLOD2;ENO1;HMGCS1;PPIA;MTHFD2;TCEA1;TBK1;PSMA3;GLA;PSMB5;RPA1;COPS5;DHFR;PFKL;GOT1;TXNRD1;PPA1;HPRT1;HSPA9;CTSC,-2.1429047877494702
MYC_TARGETS_V1,0.10817307692307693,0.20032051282051283,0.2114001893849227,0.25787794792202906,1.1987592819041042,187,IFRD1;CDK2;CDC20;CLNS1A;CDK4;IMPDH2;EIF3J;TYMS;RPL34;EEF1B2;NHP2;PA2G4;NAP1L1;EIF4A1;RPS10;POLE3;RPL6;RPS2;FBL;PABPC1;APEX1;RPL22;EIF4G2;NOP56;RPL14;RPL18;CNBP;RUVBL2;EIF3B;TRIM28;RPS3;RPLP0;RSL1D1;ABCE1;NOLC1;RPS5;MCM7;ETF1;NOP16;CYC1;TFDP1;TUFM;HDGF;SRSF7;RRP9;SSBP1;SRSF1;SNRPD1;RANBP1;PPM1G;MCM2;DDX21;C1QBP;PRDX4;HNRNPD;CSTF2,0.6982745766743675
MYC_TARGETS_V2,1.4535417428867433e-4,0.0012112847857389528,0.5188480777437918,0.5165193033575012,1.9316727338162052,50,TCOF1;BYSL;CDK4;PLK1;RRP12;PA2G4;GRWD1;MYBBP1A;IPO4;PES1;NOP56;MRTO4;NOP2;WDR74;NOLC1;TFB2M;NOP16;DCTPP1;FARSA;IMP4;NIP7;RRP9;EXOSC5;TBRG4;NDUFAF4;HSPE1;WDR43;MPHOSPH10;NOC4L;SRM,2.9167537376707564
MYOGENESIS,0.014203358962346849,0.03945377489540791,0.3807304007227924,-0.3905325896743531,-1.4854283448126029,65,COL6A2;CDH13;SCD;ITGB4;CKB;NQO1;IGFBP3;APP;SPARC;GSN;AEBP1;AGL;CRAT;FHL1;PRNP;PFKM;AGRN;NAV2;SVIL;SCHIP1,-1.4039114376303756
NOTCH_SIGNALING,0.19433962264150945,0.28579356270810213,0.13500203382863138,-0.5019631224913733,-1.2643540801591961,11,RBX1;MAML2,-0.5439475576018531
OXIDATIVE_PHOSPHORYLATION,0.9915397631133672,0.9915397631133672,0.03839958133694333,-0.1589752107406915,-0.7013338831389515,160,IDH1;OAT;BDH2;SUCLG1;ALDH6A1;DECR1;LDHA;NQO2;LRPPRC;ACADM;ACADSB;ACAT1;HSPA9;LDHB;NNT;BCKDHA;MDH1;ETFDH;OXA1L;SUCLA2;ATP6V1H;PDHB;OPA1;NDUFA4;NDUFS2;GLUD1;FH;ACAA2;HADHA;HADHB;DLD,-0.003689864863164692
